# Next run begins here.
Lifetime (time steps): 133 	 Distance traveled: 492 	 Average speed: 3.70 	 Overall route: [20, 19, 21, 4, 5, 26]
Lifetime (time steps): 30 	 Distance traveled: 124 	 Average speed: 4.13 	 Overall route: [13, 11, 13]
Lifetime (time steps): 207 	 Distance traveled: 979 	 Average speed: 4.73 	 Overall route: [25, 24, 5, 4, 21, 1, 15, 14]
Lifetime (time steps): 145 	 Distance traveled: 550 	 Average speed: 3.79 	 Overall route: [14, 15, 1, 3, 6, 7]
Lifetime (time steps): 164 	 Distance traveled: 930 	 Average speed: 5.67 	 Overall route: [20, 19, 21, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 65 	 Distance traveled: 305 	 Average speed: 4.69 	 Overall route: [26, 5, 24, 6, 7]
Lifetime (time steps): 139 	 Distance traveled: 713 	 Average speed: 5.13 	 Overall route: [12, 11, 10, 9, 3, 4, 23]
Lifetime (time steps): 108 	 Distance traveled: 621 	 Average speed: 5.75 	 Overall route: [12, 11, 10, 15, 1, 18, 0]
Lifetime (time steps): 62 	 Distance traveled: 422 	 Average speed: 6.81 	 Overall route: [12, 11, 10, 9, 8]
Lifetime (time steps): 148 	 Distance traveled: 658 	 Average speed: 4.45 	 Overall route: [0, 18, 1, 21, 4, 23]
Lifetime (time steps): 95 	 Distance traveled: 463 	 Average speed: 4.87 	 Overall route: [0, 18, 1, 15, 14]
Lifetime (time steps): 95 	 Distance traveled: 316 	 Average speed: 3.33 	 Overall route: [23, 4, 21, 22]
Lifetime (time steps): 62 	 Distance traveled: 348 	 Average speed: 5.61 	 Overall route: [2, 16, 17, 18, 0]
Lifetime (time steps): 174 	 Distance traveled: 1063 	 Average speed: 6.11 	 Overall route: [25, 24, 5, 4, 21, 1, 16, 17, 27]
Lifetime (time steps): 83 	 Distance traveled: 354 	 Average speed: 4.27 	 Overall route: [7, 6, 3, 9, 8]
Lifetime (time steps): 112 	 Distance traveled: 540 	 Average speed: 4.82 	 Overall route: [8, 9, 3, 6, 24, 25]
Lifetime (time steps): 152 	 Distance traveled: 972 	 Average speed: 6.39 	 Overall route: [25, 24, 5, 4, 21, 1, 16, 2]
Lifetime (time steps): 106 	 Distance traveled: 636 	 Average speed: 6.00 	 Overall route: [2, 16, 1, 21, 22]
Lifetime (time steps): 90 	 Distance traveled: 432 	 Average speed: 4.80 	 Overall route: [23, 4, 5, 24, 25]
Lifetime (time steps): 35 	 Distance traveled: 272 	 Average speed: 7.77 	 Overall route: [12, 11, 12]
Lifetime (time steps): 69 	 Distance traveled: 348 	 Average speed: 5.04 	 Overall route: [0, 18, 17, 16, 2]
Lifetime (time steps): 151 	 Distance traveled: 687 	 Average speed: 4.55 	 Overall route: [2, 16, 1, 3, 9, 10, 11, 13]
Lifetime (time steps): 147 	 Distance traveled: 729 	 Average speed: 4.96 	 Overall route: [2, 16, 1, 3, 6, 24, 25]
Lifetime (time steps): 31 	 Distance traveled: 186 	 Average speed: 6.00 	 Overall route: [27, 17, 27]
Lifetime (time steps): 49 	 Distance traveled: 221 	 Average speed: 4.51 	 Overall route: [27, 17, 16, 2]
Lifetime (time steps): 200 	 Distance traveled: 712 	 Average speed: 3.56 	 Overall route: [20, 19, 21, 4, 3, 6, 7]
